Species_EnglishName,Alert_Level
Dovekie,Orange
LeConte's Sparrow,Orange
Sprague's Pipit,Orange
Ruddy Turnstone,Orange
Sanderling,Orange
Red Knot,Orange
Stilt Sandpiper,Orange
Pectoral Sandpiper,Orange
Semipalmated Sandpiper,Orange
Buff-breasted Sandpiper,Orange
Pyrrhuloxia,Orange
Piping Plover,Orange
Chimney Swift,Orange
Long-tailed Duck,Orange
Evening Grosbeak,Orange
Black Swift,Orange
Bobolink,Orange
Whooping Crane,Orange
California Condor,Orange
Short-billed Gull,Orange
Glaucous Gull,Orange
Great Black-backed Gull,Orange
Western Gull,Orange
Short-billed Dowitcher,Orange
Long-billed Dowitcher,Orange
Whimbrel,Orange
Eastern Towhee,Orange
American Golden-Plover,Orange
Black-bellied Plover,Orange
King Rail,Orange
Rufous Hummingbird,Orange
Kirtland’s Warbler,Orange
King Eider,Orange
Least Tern,Orange
Lesser Yellowlegs,Orange
Greater Yellowlegs,Orange
Pelagic Cormorant,Orange
Tricolored Blackbird,Red
Saltmarsh Sparrow,Red
Mottled Duck,Red
Florida Scrub-Jay,Red
Pink-footed Shearwater,Red
Kittlitz's Murrelet,Red
Chestnut-collared Longspur,Red
Bicknell's Thrush,Red
Baird's Sparrow,Red
Gunnison Sage-Grouse,Red
Greater Sage-Grouse,Red
Mountain Plover,Red
Wilson’s Plover,Red
Yellow-billed Loon,Red
Band-rumped Storm-Petrel,Red
Ashy Storm-Petrel,Red
Townsend's Storm-Petrel,Red
Black Rail,Red
Brown-capped Rosy-Finch,Red
Hudsonian Godwit,Red
Cassia Crossbill,Red
Bristle-thighed Curlew,Red
Bachman's Sparrow,Red
Yellow-billed Magpie,Red
Steller's Eider,Red
Bermuda Petrel,Red
Fea's Petrel,Red
Black-capped Petrel,Red
Hawaiian Petrel,Red
Ridgway's Rail,Red
Thick-billed Longspur,Red
Allen's Hummingbird,Red
Golden-cheeked Warbler,Red
Spectacled Eider,Red
Craveri's Murrelet,Red
Guadalupe Murrelet,Red
Scripp's Murrelet,Red
Bendire's Thrasher,Red
LeConte's Thrasher,Red
Greater Prairie-Chicken,Red
Lesser Prairie-Chicken,Red
Red-faced Cormorant,Red
Northern Pintail,Yellow
Eastern Whip-poor-will,Yellow
Sagebrush Sparrow,Yellow
Marbled Murrelet,Yellow
Rock Sandpiper,Yellow
Henslow's Sparrow,Yellow
Snowy Plover,Yellow
Olive-sided Flycatcher,Yellow
Yellow Rail,Yellow
Red-cockaded Woodpecker,Yellow
Reddish Egret,Yellow
Pinyon Jay,Yellow
American Oystercatcher,Yellow
Wood Thrush,Yellow
Black Rosy-Finch,Yellow
Bar-tailed Godwit,Yellow
Black Scoter,Yellow
Lewis’s Woodpecker,Yellow
Ivory Gull,Yellow
Short-tailed Albatross,Yellow
Horned Grebe,Yellow
Audubon's Shearwater,Yellow
Manx Shearwater,Yellow
Cerulean Warbler,Yellow
Prairie Warbler,Yellow
Grace's Warbler,Yellow
Black-chinned Sparrow,Yellow
Field Sparrow,Yellow
Spotted Owl,Yellow
Chihuahuan Meadowlark,Yellow
Wandering Tattler,Yellow
Golden-winged Warbler,Yellow
Harris's Sparrow,Yellow
